global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45
2219.0061168481416	n/a	n/a	4923988.146609468	2730.420543223888	n/a	7455196.342859033	n/a	2456.7078895568848	n/a	n/a	6035413.654611043	2436.016136735209	1717.540895520002	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0913105151151114	n/a	0.0083376101705869	n/a	0.5926156199547847	n/a	0.3511932730143938	n/a	1.946587970446629	n/a	3.789204726687526	n/a	-0.0001201188785699	n/a	n/a	1.442854498889038e-08	-0.0080704494566532	n/a	6.513215443239393e-05	n/a	-0.0025070274794112	n/a	n/a	6.285186782522876e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2276.896400082569	57.89028323442744	3351.284892962231	5184257.216708962	2696.041516278241	-34.37902694564718	7268639.857495877	1181.9174937295352	2437.371325100169	-19.33656445671568	373.9027249887201	5940778.976420554	2423.6367749160595	1904.7847242120724	3.375577	91.362183	1.4922722173159642	0.849228356863444	-0.0567269372	0.1336128775	-0.1196324696	0.0672784052	-0.0581022276	-0.1672346997	0.2414653932	-0.1265718179	0.0022851805	-0.0729067505	0.2319572223	-0.0091421235	-0.0759211864	-0.1141112186	-0.1455922986	-0.0971735681	0.0596948004	-0.2810996841	0.1093073681	-0.2912165565	0.0767560685	-0.1415576021	-0.0356479869	0.0980897954	0.1496189218	-0.2832033521	0.1231977894	-0.0143809195	0.041796665	-0.0676145575	0.0872484624	-0.0909704561	0.0140215512	-0.1128961799	-0.254585106	-0.2562527105	0.1360279949	-0.0892158753	0.0526824357	-0.2271793874	0.0458672096	-0.2104347007	-0.174392064	0.1982294708	-0.2160438331	0.04033477	-0.3007504537	0.0094975789	-0.4701340382	0.0384449852	-0.210203782	0.2041043174	-0.1831413461	0.0635321943	-0.0780459885	0.0045855121	0.0955069323	-0.1094182624	0.0817849534	0.0817815676	0.0817759247	0.0817680248	0.0817578682	0.0817454551	0.081730786	0.0817138611	0.0	0.0305238790778901	-0.0607866360372213	0.0009317071939616	0.0036950151207216	0.0666923868739388	-0.5259232330808459	0.0044478744669431	0.2765952470942097	1.252626898822882	-0.693961071623747	1.5690741476546304	0.4815819689291793	-0.001749343175606	-0.0016292242970361	2.6543718100527744e-06	3.0602015460392844e-06	-0.0060488631061905	0.0020215863504627	3.658874487743258e-05	4.0868113723771e-06	-0.001925812595427	0.0005812148839842	3.378107413647672e-07	3.7087541527052783e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2256.0527968705096	-20.843603212059406	434.4557948617732	5089774.222267249	2665.321153795397	-30.72036248284394	7103936.852869227	943.7406710773254	2446.4896204331344	9.118295332965316	83.14330977917709	5985311.462887062	2429.3701830231744	1774.510889519831	2.322405	62.857391	0.6500690800986647	0.3186999007384921	-0.1968405114	0.07852862	-0.1912284628	0.1113765537	-0.1091766254	-0.2302223217	0.2391989902	-0.1513655162	0.0484254314	-0.0710741647	0.3225572681	-0.0258407129	-0.0830378064	-0.2015774613	0.0287177883	0.0028484661	0.0623001569	0.0631398061	0.0996020422	-0.1969019557	-0.1709812993	0.0156609157	-0.0260946771	0.1002535134	0.1949978184	-0.2274993297	0.1577253186	0.0201561352	-0.0623766902	-0.0057147892	0.0800879924	-0.0797663198	-0.1557391823	0.00042785	-0.286448806	-0.1740058931	0.2090518544	-0.0415927013	-0.0039730021	-0.0078057322	0.0029887585	0.1491852163	-0.0867308393	0.0161622741	-0.0868804663	-0.0930579181	0.199384571	0.0311387943	0.2031455662	0.0287543611	0.1755552822	-0.1266361223	0.0609561464	-0.0585836552	0.0126215897	-0.057379972	-0.0257590316	-0.0633354811	0.0817759247	0.0817454551	0.081694681	0.0816236149	0.0815322745	0.0814206823	0.0812888663	0.0811368591	0.0	0.0066070167776643	-0.0239168623002258	4.365267070033756e-05	0.0005720163022879	-0.1449387957833039	-0.2116311826572427	0.0210072545231142	0.0447877574729032	1.1091560365823057	-0.1434708622405762	1.230227113486969	0.0205838883120544	-0.0062050737246451	-0.0044557305490391	1.9853534725640283e-05	3.850293992828102e-05	-0.005324352199072	0.0007245109071184	2.8348726339762845e-05	5.24916054533671e-07	-0.0016850505935722	0.0002407620018548	5.796634153713073e-08	2.839395502898024e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2272.0081719189275	15.955375048417864	254.5739929356753	5162021.133266387	2678.453830478428	13.132676683030695	7174114.922004563	172.4671968610181	2438.7309473823098	-7.758673050824655	60.19700750959275	5947408.633720218	2424.816374155109	1840.7047061299104	1.51961	41.129234	0.201092546625393	0.1188417355157228	-0.1284498051	0.115315692	-0.2155323939	0.0148230081	-0.0967062006	-0.2487666339	0.210156204	-0.0734480341	0.1041882212	-0.0957611664	0.3782227497	-0.0090603881	-0.1055893045	-0.0997331413	-0.095185021	-0.1102675348	0.0519068949	0.0304341661	0.0837620234	-0.0109915728	0.0735349803	0.2600860253	-0.0219649166	0.1204714731	0.2505373349	-0.2514342166	0.0887779595	-0.0330973039	-0.0095742159	-0.0617046698	0.1073263314	-0.1539121801	-0.0781004445	0.0846117954	-0.2697060497	-0.2068888999	0.118892237	-0.078460161	0.0275105948	-0.0128347223	0.0192881976	0.0375121771	-0.2063439015	0.028221644	-0.0935482857	-0.0595162035	0.0074213929	-0.048428784	0.039260137	-0.0194079401	-0.0033578314	-0.042347065	0.02632913	-0.0101355402	-0.0045155931	-0.0458862199	-0.0762124677	0.0373982718	0.0817578682	0.0816732462	0.0815322745	0.0813350502	0.0810817094	0.0807724271	0.0804074164	0.0799869293	0.0	0.0139715866039438	0.0073645698262795	0.0001952052322315	5.423688872614647e-05	-0.1388059414731941	0.0061328543101097	0.0192670893882597	3.7611901989032255e-05	1.037520921523857	-0.0716351150584486	1.0764496625997135	0.0051315897094371	-0.0050068078749388	0.0011982658497063	1.4358410465723623e-06	2.506812509654918e-05	-0.0061391302151752	-0.0008147780161031	3.76889197988771e-05	6.638632155250663e-07	-0.0013788943107706	0.0003061562828016	9.373166949889327e-08	1.9013495202755284e-06	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2273.53988166828	1.531709749352558	2.346134756261676	5168983.593536217	2670.9980647456537	-7.455765732774125	7134230.661875027	55.58844266200889	2451.28788802203	12.556940639720324	157.67675822945986	6008812.309963505	2430.885298413909	1731.62230691758	1.640104	44.390469	0.3328991856875112	0.1941780687605316	-0.258057584	0.0825701744	-0.1696838203	0.1031272659	-0.094582358	-0.2232365503	0.2810302521	-0.0264538347	0.0656605465	-0.0503858638	0.3680959643	0.0196641334	-0.0654157432	-0.1635102544	0.0173729987	-0.007083699	0.0504561784	0.069163178	-0.0198286427	0.0952989588	-0.0605485983	0.0030187495	0.0444889842	0.0825224644	0.2614560848	-0.1886149474	0.1573372356	0.0330531592	-0.0559863588	-0.0570923342	0.0769248098	-0.0687851926	-0.0891109393	0.0402170422	-0.2970715541	-0.1103982347	0.196711281	-0.0475508379	0.0333593184	0.0792780715	-0.0408125796	0.1781515734	-0.0840181724	-0.0569126553	-0.0403018159	-0.0158813375	0.2020966616	0.0535756718	0.2363181226	-0.0388872243	0.0877040057	-0.0476208404	0.1548488699	-0.1255792966	0.0312262656	-0.0971622776	0.0007670642	0.0549230789	0.081730786	0.0815649727	0.0812888663	0.0809028402	0.0804074164	0.0798032648	0.0790912023	0.0782721918	0.0	-0.0254012556944616	-0.0393728422984054	0.0006452237908554	0.0015502207106551	-0.127256979922862	0.0115489615503321	0.0161943389390877	0.000133378512891	0.8645055811599534	-0.1730153403639036	0.7473698998567087	0.0299343080012374	-0.0060761623769575	-0.0010693545020187	1.1435190509876633e-06	3.691974923115382e-05	-0.0066601356496311	-0.0005210054344558	4.435740687148707e-05	2.7144666273258093e-07	-0.0019677752037934	-0.0005888808930227	3.4678070616733015e-07	3.872139252664156e-06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2314.6566428602628	41.11676119198273	1690.5880509185372	5357635.374337142	2771.432526459565	100.43446171391132	7680838.248718047	10087.081099763122	2446.7299726149613	-4.557915407068776	20.77459285799493	5986487.558892409	2442.230612491222	1922.03309503271	3.023225	81.825539	1.419840411172265	0.8920597975031497	-0.0528088682	0.0813743966	0.0490772556	-0.0702426267	0.0894377901	-0.0070003916	-0.1085629913	0.0683533832	-0.103748155	0.0215902219	-0.0444347744	-0.0460922059	0.080168533	-0.0642167991	0.0371515415	0.0622640418	-0.0360217181	0.1388522274	-0.115089573	0.0842515327	-0.0377932524	-0.0649305344	0.0358866199	-0.0183780368	0.018903195	0.1057692268	-0.0049797322	-0.0175805734	-0.0928023488	0.0129555954	-0.1849522318	0.0365835356	-0.0113378927	-0.0880664347	-0.0012855927	0.0499767917	-0.0068646184	-0.1010206567	0.0636277679	-0.0816339817	0.0805482595	0.0076437041	0.1024520109	-0.2289891957	0.1312017883	0.0974326171	0.0074221695	0.1006515231	-0.0637536978	-0.077997109	-0.0549255594	0.1761647058	0.0933619155	0.0127245315	-0.0501386429	-0.0812477175	-0.0613057082	0.0930568478	0.081694681	0.0814206823	0.0809646984	0.0803277484	0.0795112559	0.078517046	0.0773473408	0.0760047548	0.0	-0.0900203618009953	-0.0646191061065337	0.008103665538782	0.0041756288740074	-0.0703210789402533	0.0569359009826087	0.0049450541433213	0.0032416968207014	-0.046429674893254	-0.9109352560532074	0.0021557147106932	0.8298030407207224	-0.003837159677278	0.0022390026996795	5.013133089172091e-06	1.4723794388928203e-05	-0.0019237136997434	0.0047364219498877	3.70067439858044e-06	2.2433692887378e-05	-0.0011961968927623	0.000771578311031	5.953330900536048e-07	1.4308870062541813e-06	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2318.1244857116594	3.4678428513966537	12.025934041982874	5373701.131255945	2787.8237920537726	16.391265594207653	7771961.495541076	268.67358777985555	2443.509396272548	-3.2205763424130964	10.37211197731092	5970738.169672233	2442.5883096416346	1981.565570958272	2.274717	61.566692	0.7485082459981228	0.3849120192220216	0.1619950543	0.0007376348	-0.0410713157	-0.0343977625	0.1263221929	0.0393994561	-0.0772839192	-0.1106851766	0.0364763939	0.0201732169	-0.089903737	-0.0613567636	0.0112802776	0.0704257724	-0.1168897701	0.0313773166	0.127781449	0.1538396606	0.000926783	0.1221319605	-0.0929997858	0.004320207	-0.0390666487	-0.0502048951	-0.0702628002	-0.0567034634	-0.1477612401	-0.0622348377	-0.054467615	-0.023301973	-0.0224574353	0.0852173641	-0.0889117527	0.0738843322	0.1609056765	-0.074262728	-0.080123244	-0.0080611202	0.0754308584	-0.0126654734	-0.0593575163	0.0556414873	0.0704263259	0.0079304833	0.0095188458	-0.0034550171	-0.0495933626	-0.1333816397	0.0659432896	0.1141485297	0.0328338555	-0.061540983	-0.1103682976	0.0277337092	-0.038210344	-0.0345799201	-0.027286061	-0.0414109036	0.0816495573	0.0812404389	0.0805600928	0.0796107903	0.0783957008	0.0769188808	0.075185261	0.0732006291	0.0	0.0615263141143458	0.1515466759153411	0.0037854873284971	0.0229663949809894	0.0864230198926492	0.1567440988329025	0.0074689383673652	0.0245687125189387	-0.3479952105821482	-0.3015655356888942	0.1211006665881136	0.0909417723153297	-0.0020719122840036	0.0017652473932743	3.1160983594620634e-06	4.292820512605015e-06	-0.0015939667758473	0.000329746923896	2.5407300825050368e-06	1.0873303381894033e-07	-0.0005181524987131	0.0006780443940491	4.597442003015466e-07	2.684820119226291e-07	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2340.244461762086	22.11997605042643	489.29334047143885	5476744.140808115	2749.947897421347	-37.87589463242557	7562213.438532088	1434.5833942066042	2489.467056498808	45.95766022625958	2112.1065334723216	6197446.225392838	2468.2551220154496	1998.012931072936	1.932525	52.305042	0.4723922332693647	0.2174959779930569	0.0635308577	0.0536261077	0.0757115038	0.0861851941	0.0707190395	0.0158915424	-0.0355440516	0.0270256355	-0.0665905778	0.1331018001	0.0317010382	0.0891180297	-0.127789185	0.1673778154	0.1541943226	-0.0937415268	-0.0025344572	-0.0501134498	-0.0540530271	0.1087276396	0.0571203769	-0.0550217127	0.0765006276	-0.099082164	0.0909306026	0.0773585664	-0.0848802993	0.1743399807	0.0846957951	0.1344350551	0.002391361	-0.1124342584	0.0678603246	-0.0228397908	0.0721844467	0.0746541571	-0.0449986364	0.1580222123	0.1010848777	0.0019654537	0.0220084443	0.0458248481	-0.0106774757	-0.1247938793	0.0275620391	0.0561086856	-0.021674443	0.0736175021	-0.0642088693	-0.061418074	-0.0258317172	0.00173211	0.0814667437	-0.0644380298	-0.0572005815	0.0177456497	0.0326756231	-0.0497826497	0.0815954198	0.081024322	0.0800754515	0.0787532322	0.0770638291	0.0750151187	0.0726166533	0.0698796155	0.0	-0.0659441116918628	-0.1274704258062086	0.0043486258668288	0.0162487094552161	0.0095574607922088	-0.0768655591004403	9.134505679460849e-05	0.0059083141758232	-0.232955944333888	0.1150392662482602	0.0542684720004935	0.0132340327789381	3.42148712999099e-05	0.0021061271553035	4.435771594306855e-06	1.1706574180693983e-09	-0.0017899958313281	-0.0001960290554807	3.204085076171976e-06	3.8427390592694565e-08	0.0002400309327917	0.0007581834315048	5.748421158083938e-07	5.76148486968536e-08	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2300.6606597094988	-39.58380205258709	1566.877384938398	5293039.471134946	2730.3174279015343	-19.630469519812777	7454633.25710285	385.3553335682985	2438.335560069365	-51.131496429442905	2614.4299271141326	5945480.303498783	2428.3475839679163	2028.808684706516	1.804081	48.828621	0.3181846917013065	0.1625942755592433	0.1302834399	0.060505886	0.0732359741	-0.0844945082	0.0466703798	0.0402742541	-0.1423532043	-0.0459452829	-0.0886976609	0.0084276522	-0.1532689868	-0.0454614201	0.0128830462	-0.0381690125	-0.0212974383	0.1647397988	0.0046579309	0.0368048282	-0.0225837349	-0.0312881451	-0.1688473781	-0.0909846409	0.0193467083	-0.0287064087	-0.0945253104	0.0625262918	-0.059594638	0.0061857801	-0.1239611164	0.0030640038	-0.0464628291	0.2064285653	-0.0401339684	-0.0212994518	0.1300858666	-0.0010981474	-0.0607463372	-0.0692900106	0.0388034592	-0.0934025544	0.080853728	0.0363593149	0.080701098	-0.0361087574	0.0173978849	-0.0351551191	0.0210371529	-0.0791474497	-0.0303714605	-0.0635552633	0.0272492163	-0.1110917194	-0.0178131499	0.1099706173	-0.0239006844	0.1298482703	-0.0343243013	0.11019262	0.0815322745	0.0807724271	0.0795112559	0.0777565887	0.0755193158	0.0728133233	0.0696554061	0.0660651644	0.0	0.0314233904071414	0.0973675020990042	0.0009874294646796	0.0094804304649995	0.0261352642632317	0.0165778034710228	0.0006830520381089	0.0002748235679238	-0.2353880359265119	-0.0024320915926238	0.0554075274573408	5.915069514911818e-06	-0.0018948409154149	-0.0019290557867148	3.721256228257894e-06	3.590422094730376e-06	-0.0007861829387882	0.0010038128925399	6.180836132416507e-07	1.007640323229321e-06	-0.0008632462787267	-0.0011032772115184	1.2172206054558162e-06	7.451941377354955e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2290.0356330968066	-10.625026612692182	112.8911905204171	5244263.200853092	2745.1114721899635	14.794044288429175	7535636.994748949	218.86374640800395	2439.219480851117	0.8839207817522947	0.7813159484135879	5949791.675763594	2431.525205530745	1915.8501154765725	1.365577	36.960217	0.3645676804007158	0.158213128430854	0.1054910372	-0.033141361	0.0054290168	-0.1320801235	0.0589417279	0.0798444779	-0.0916786667	-0.0869347939	0.017325397	-0.0006471578	-0.1067214717	-0.0299781063	0.0031401186	0.0639102106	-0.0682507882	0.0643639975	0.0488871948	0.0746607448	0.0737067658	-0.023977787	-0.0454408906	-0.0340464748	0.0189394693	-0.0287302879	-0.1075593157	-0.0286341339	-0.1037641644	-0.042743829	-0.0020392557	-0.0111375099	0.0054569398	0.099757164	0.0170925316	0.0061272081	0.1300481439	-0.047275356	-0.0725165293	-0.131995344	0.0367100235	-0.0537978164	-0.0557729912	0.0193525209	0.0978074357	0.0927955378	0.0659127045	-0.0544263742	0.017878714	-0.0119588007	0.0441468852	0.0803762741	0.0601213235	-0.0663988618	-0.0289166837	0.0561772505	-0.0178713929	0.0288832573	0.0545049555	-0.0740689624	0.0814601283	0.0804848653	0.0788680667	0.0766226198	0.0737664228	0.0703222422	0.0663175311	0.0617842106	0.0	0.1163948309824434	0.084971440575302	0.0135477566794315	0.007220145713442	0.0609090229978335	0.0347737587346018	0.0037099090825506	0.0012092142965322	-0.297988596144549	-0.062600560218037	0.0887972034321991	0.003918830139612	-0.0036249207869504	-0.0017300798715355	2.993176361892293e-06	1.3140050711665108e-05	-0.0003010262609706	0.0004851566778176	9.061680979393976e-08	2.3537700203101058e-07	0.0005659555893757	0.0014292018681024	2.0426179797873902e-06	3.203057291455959e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
